year,ref_date,variable,value,area_name,full_area_name,area_level,country_name,grouping,record_created,record_updated,source_org,source_title,source_pub_date,frequency,source_link,notes
1968,01/01/1968,dwellings,18261345,France,France métropolitaine,country,France,Southern Europe,23/12/2020,23/12/2020,Insee,Séries historiques en 2015 - Recensement de la population - Base des principaux indicateurs,26/06/2018,Multi-year,https://www.insee.fr/fr/statistiques/3565661,
1975,01/01/1975,dwellings,21078323,France,France métropolitaine,country,France,Southern Europe,23/12/2020,23/12/2020,Insee,Séries historiques en 2015 - Recensement de la population - Base des principaux indicateurs,26/06/2018,Multi-year,https://www.insee.fr/fr/statistiques/3565661,
1982,01/01/1982,dwellings,23652000,France,France métropolitaine,country,France,Southern Europe,23/12/2020,23/12/2020,Insee,Estimation annuelle du parc de logements - Nombre total de logements - France métropolitaine - Identifiant 001687211,19/08/2020,Multi-year,https://www.insee.fr/fr/statistiques/serie/001687211,
1983,01/01/1983,dwellings,24003000,France,France métropolitaine,country,France,Southern Europe,23/12/2020,23/12/2020,Insee,Estimation annuelle du parc de logements - Nombre total de logements - France métropolitaine - Identifiant 001687212,19/08/2020,Annual,https://www.insee.fr/fr/statistiques/serie/001687211,
1984,01/01/1984,dwellings,24368000,France,France métropolitaine,country,France,Southern Europe,23/12/2020,23/12/2020,Insee,Estimation annuelle du parc de logements - Nombre total de logements - France métropolitaine - Identifiant 001687213,19/08/2020,Annual,https://www.insee.fr/fr/statistiques/serie/001687211,
1985,01/01/1985,dwellings,24713000,France,France métropolitaine,country,France,Southern Europe,23/12/2020,23/12/2020,Insee,Estimation annuelle du parc de logements - Nombre total de logements - France métropolitaine - Identifiant 001687214,19/08/2020,Annual,https://www.insee.fr/fr/statistiques/serie/001687211,
1986,01/01/1986,dwellings,25038000,France,France métropolitaine,country,France,Southern Europe,23/12/2020,23/12/2020,Insee,Estimation annuelle du parc de logements - Nombre total de logements - France métropolitaine - Identifiant 001687215,19/08/2020,Annual,https://www.insee.fr/fr/statistiques/serie/001687211,
1987,01/01/1987,dwellings,25361000,France,France métropolitaine,country,France,Southern Europe,23/12/2020,23/12/2020,Insee,Estimation annuelle du parc de logements - Nombre total de logements - France métropolitaine - Identifiant 001687216,19/08/2020,Annual,https://www.insee.fr/fr/statistiques/serie/001687211,
1988,01/01/1988,dwellings,25660000,France,France métropolitaine,country,France,Southern Europe,23/12/2020,23/12/2020,Insee,Estimation annuelle du parc de logements - Nombre total de logements - France métropolitaine - Identifiant 001687217,19/08/2020,Annual,https://www.insee.fr/fr/statistiques/serie/001687211,
1989,01/01/1989,dwellings,25930000,France,France métropolitaine,country,France,Southern Europe,23/12/2020,23/12/2020,Insee,Estimation annuelle du parc de logements - Nombre total de logements - France métropolitaine - Identifiant 001687218,19/08/2020,Annual,https://www.insee.fr/fr/statistiques/serie/001687211,
1990,01/01/1990,dwellings,26197000,France,France métropolitaine,country,France,Southern Europe,23/12/2020,23/12/2020,Insee,Estimation annuelle du parc de logements - Nombre total de logements - France métropolitaine - Identifiant 001687219,19/08/2020,Annual,https://www.insee.fr/fr/statistiques/serie/001687211,
1991,01/01/1991,dwellings,26499000,France,France métropolitaine,country,France,Southern Europe,23/12/2020,23/12/2020,Insee,Estimation annuelle du parc de logements - Nombre total de logements - France métropolitaine - Identifiant 001687220,19/08/2020,Annual,https://www.insee.fr/fr/statistiques/serie/001687211,
1992,01/01/1992,dwellings,26773000,France,France métropolitaine,country,France,Southern Europe,23/12/2020,23/12/2020,Insee,Estimation annuelle du parc de logements - Nombre total de logements - France métropolitaine - Identifiant 001687221,19/08/2020,Annual,https://www.insee.fr/fr/statistiques/serie/001687211,
1993,01/01/1993,dwellings,27044000,France,France métropolitaine,country,France,Southern Europe,23/12/2020,23/12/2020,Insee,Estimation annuelle du parc de logements - Nombre total de logements - France métropolitaine - Identifiant 001687222,19/08/2020,Annual,https://www.insee.fr/fr/statistiques/serie/001687211,
1994,01/01/1994,dwellings,27310000,France,France métropolitaine,country,France,Southern Europe,23/12/2020,23/12/2020,Insee,Estimation annuelle du parc de logements - Nombre total de logements - France métropolitaine - Identifiant 001687223,19/08/2020,Annual,https://www.insee.fr/fr/statistiques/serie/001687211,
